EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VERAGO (STAID: 21782).
Blended and updated with sources: 218232 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
218232,20200501,-9999,    9
218232,20200502,-9999,    9
218232,20200503,-9999,    9
218232,20200504,-9999,    9
218232,20200505,-9999,    9
218232,20200506,-9999,    9
218232,20200507,-9999,    9
218232,20200508,-9999,    9
218232,20200509,-9999,    9
218232,20200510,-9999,    9
218232,20200511,-9999,    9
218232,20200512,-9999,    9
218232,20200513,-9999,    9
218232,20200514,-9999,    9
218232,20200515,-9999,    9
218232,20200516,-9999,    9
218232,20200517,-9999,    9
218232,20200518,-9999,    9
218232,20200519,-9999,    9
218232,20200520,-9999,    9
218232,20200521,-9999,    9
218232,20200522,-9999,    9
218232,20200523,-9999,    9
218232,20200524,-9999,    9
218232,20200525,-9999,    9
218232,20200526,-9999,    9
218232,20200527,-9999,    9
218232,20200528,-9999,    9
218232,20200529,-9999,    9
218232,20200530,-9999,    9
218232,20200531,  168,    0
218232,20200601,  191,    0
218232,20200602,  217,    0
218232,20200603,  197,    0
218232,20200604,  156,    0
218232,20200605,  191,    0
218232,20200606,  195,    0
218232,20200607,  183,    0
218232,20200608,  162,    0
218232,20200609,  160,    0
218232,20200610,  147,    0
218232,20200611,  156,    0
218232,20200612,  178,    0
218232,20200613,  190,    0
218232,20200614,  197,    0
218232,20200615,  204,    0
218232,20200616,  201,    0
218232,20200617,  183,    0
218232,20200618,  183,    0
218232,20200619,  184,    0
218232,20200620,  197,    0
218232,20200621,  229,    0
218232,20200622,  232,    0
218232,20200623,  244,    0
218232,20200624,  237,    0
218232,20200625,  227,    0
218232,20200626,  228,    0
218232,20200627,  239,    0
218232,20200628,  243,    0
218232,20200629,  251,    0
218232,20200630,  242,    0
218232,20200701,  242,    0
218232,20200702,  243,    0
218232,20200703,  215,    0
218232,20200704,  211,    0
218232,20200705,  234,    0
218232,20200706,  249,    0
218232,20200707,  210,    0
218232,20200708,  211,    0
218232,20200709,  230,    0
218232,20200710,  250,    0
218232,20200711,  239,    0
218232,20200712,  216,    0
218232,20200713,  205,    0
218232,20200714,  204,    0
218232,20200715,  204,    0
218232,20200716,  216,    0
218232,20200717,  226,    0
218232,20200718,  215,    0
218232,20200719,  223,    0
218232,20200720,  241,    0
218232,20200721,  247,    0
218232,20200722,  265,    0
218232,20200723,  248,    0
218232,20200724,  192,    0
218232,20200725,  229,    0
218232,20200726,  236,    0
218232,20200727,  244,    0
218232,20200728,  260,    0
218232,20200729,  269,    0
218232,20200730,  281,    0
218232,20200731,  286,    0
218232,20200801,  283,    0
218232,20200802,  245,    0
218232,20200803,  190,    0
218232,20200804,  196,    0
218232,20200805,  205,    0
218232,20200806,  227,    0
218232,20200807,  244,    0
218232,20200808,  254,    0
218232,20200809,  258,    0
218232,20200810,  259,    0
218232,20200811,  254,    0
218232,20200812,  253,    0
218232,20200813,  244,    0
218232,20200814,  248,    0
218232,20200815,  236,    0
218232,20200816,  223,    0
218232,20200817,  215,    0
218232,20200818,  224,    0
218232,20200819,  228,    0
218232,20200820,  240,    0
218232,20200821,  253,    0
218232,20200822,  255,    0
218232,20200823,  235,    0
218232,20200824,  216,    0
218232,20200825,  224,    0
218232,20200826,  239,    0
218232,20200827,  241,    0
218232,20200828,  238,    0
218232,20200829,  189,    0
218232,20200830,  211,    0
218232,20200831,-9999,    9
218232,20200901,  186,    0
218232,20200902,  170,    0
218232,20200903,  185,    0
218232,20200904,  204,    0
218232,20200905,  215,    0
218232,20200906,  213,    0
218232,20200907,  183,    0
218232,20200908,  204,    0
218232,20200909,  206,    0
218232,20200910,  212,    0
218232,20200911,  212,    0
218232,20200912,  218,    0
218232,20200913,  230,    0
218232,20200914,  224,    0
218232,20200915,  214,    0
218232,20200916,  221,    0
218232,20200917,  224,    0
218232,20200918,  223,    0
218232,20200919,  197,    0
218232,20200920,  189,    0
218232,20200921,  179,    0
218232,20200922,  169,    0
218232,20200923,  175,    0
218232,20200924,  188,    0
218232,20200925,  137,    0
218232,20200926,  134,    0
218232,20200927,  110,    0
